block_index,offset,size,ascii_count,serial_candidates,zero_count,ff_count,numeric_candidates_count
0,0,70,2,12345678,54,0,67
1,70,70,1,B7CF21CAEC6B,57,0,67
2,140,70,1,000000006T216901488,39,0,67
3,210,70,4,00000000000000000000;00000000000000000000000000000000000000000000000000000000000000000,4,0,67
4,280,70,4,000000000000;000000000000000;00000000000000000000;0000000000000000000000000000000000000000000000000000000000000000000,3,0,67
5,350,70,1,00000000,59,0,67
6,420,70,0,,60,8,62
7,490,70,0,,70,0,67
8,560,70,1,B7CF21CAEC6B,51,0,67
9,630,70,2,000000000000000000;00000000000000000000;00000000000000000000000000000000000000,31,0,67
10,700,70,0,,70,0,67
11,770,70,0,,67,0,67
12,840,70,0,,28,28,45
13,910,70,0,,19,4,66
14,980,70,0,,17,4,66
15,1050,70,0,,19,4,66
16,1120,70,0,,19,4,66
17,1190,70,0,,19,4,66
18,1260,70,0,,19,4,66
19,1330,70,0,,19,4,66
20,1400,70,0,,16,4,66
21,1470,70,0,,16,4,66
22,1540,70,0,,17,4,66
23,1610,70,0,,16,4,66
24,1680,70,0,,14,4,66
25,1750,70,0,,16,4,66
26,1820,70,0,,16,4,66
27,1890,70,0,,17,4,66
28,1960,70,0,,16,4,66
29,2030,70,0,,16,4,66
30,2100,70,0,,16,4,66
31,2170,70,0,,16,4,66
32,2240,70,0,,16,4,66
33,2310,70,0,,16,4,66
34,2380,70,0,,16,4,66
35,2450,70,0,,16,4,66
36,2520,70,0,,16,4,66
37,2590,70,0,,16,4,66
38,2660,70,0,,14,4,66
39,2730,70,0,,16,4,66
40,2800,70,0,,16,4,66
41,2870,70,0,,16,4,66
42,2940,70,0,,16,4,66
43,3010,70,0,,16,4,66
44,3080,70,0,,16,5,66
45,3150,70,0,,17,5,66
46,3220,70,0,,17,4,66
47,3290,70,0,,16,4,66
48,3360,70,0,,17,4,66
49,3430,70,0,,16,4,66
50,3500,70,0,,16,4,66
51,3570,70,0,,16,5,66
52,3640,70,0,,16,4,66
53,3710,70,0,,16,4,66
54,3780,70,0,,16,4,66
55,3850,70,0,,16,5,66
56,3920,70,0,,16,4,66
57,3990,70,0,,16,4,66
58,4060,70,0,,17,4,66
59,4130,70,0,,16,4,66
60,4200,70,0,,16,4,66
61,4270,70,0,,16,4,66
62,4340,70,0,,16,4,66
63,4410,70,0,,19,4,66
64,4480,70,0,,16,4,66
65,4550,70,0,,16,4,66
66,4620,70,0,,16,4,66
67,4690,70,0,,16,4,66
68,4760,70,0,,16,4,66
69,4830,70,0,,16,4,66
70,4900,70,0,,16,4,66
71,4970,70,0,,19,4,66
72,5040,70,0,,19,4,66
73,5110,70,0,,19,4,66
74,5180,70,0,,19,4,66
75,5250,70,0,,19,4,66
76,5320,70,0,,19,4,66
77,5390,70,0,,19,4,66
78,5460,70,0,,19,4,66
79,5530,70,0,,19,4,66
80,5600,70,0,,19,4,66
81,5670,70,0,,19,4,66
82,5740,70,0,,19,4,66
83,5810,70,0,,19,4,66
84,5880,70,0,,19,4,66
85,5950,70,0,,19,4,66
86,6020,70,0,,19,5,66
87,6090,70,0,,20,4,66
88,6160,70,0,,19,4,66
89,6230,70,0,,20,4,66
90,6300,70,0,,21,4,66
91,6370,70,0,,21,4,66
92,6440,70,0,,21,4,66
93,6510,70,0,,21,5,66
94,6580,70,0,,21,4,66
95,6650,70,0,,21,4,66
96,6720,70,0,,21,4,66
97,6790,70,0,,25,4,66
98,6860,70,0,,28,4,66
99,6930,70,0,,28,4,66
100,7000,70,0,,32,4,66
101,7070,70,0,,32,4,66
102,7140,70,0,,32,4,66
103,7210,70,0,,32,4,66
104,7280,70,0,,32,4,66
105,7350,70,0,,38,4,66
106,7420,70,0,,55,4,66
107,7490,70,0,,53,4,66
108,7560,70,0,,53,4,66
109,7630,70,0,,53,4,66
110,7700,70,0,,54,4,66
111,7770,70,0,,53,4,66
112,7840,70,0,,53,4,66
113,7910,70,0,,53,4,66
114,7980,70,0,,53,4,66
115,8050,70,0,,53,4,66
116,8120,70,0,,53,4,66
117,8190,70,0,,53,4,66
118,8260,70,0,,53,4,66
119,8330,70,0,,53,4,66
120,8400,70,0,,53,4,66
121,8470,70,0,,53,4,66
122,8540,70,0,,53,4,66
123,8610,70,0,,53,4,66
124,8680,70,0,,53,4,66
125,8750,70,0,,53,4,66
126,8820,70,0,,53,4,66
127,8890,70,0,,53,4,66
128,8960,70,0,,53,4,66
129,9030,70,0,,53,4,66
130,9100,70,0,,53,4,66
131,9170,70,0,,53,4,66
132,9240,70,0,,53,4,66
133,9310,70,0,,53,4,66
134,9380,70,0,,53,4,66
135,9450,70,0,,53,4,66
136,9520,70,0,,53,4,66
137,9590,70,0,,53,4,66
138,9660,70,0,,53,4,66
139,9730,70,0,,53,4,66
140,9800,70,0,,53,4,66
141,9870,70,0,,53,4,66
142,9940,70,0,,53,4,66
143,10010,70,0,,53,4,66
144,10080,70,0,,53,4,66
145,10150,70,0,,53,4,66
146,10220,70,0,,53,4,66
147,10290,70,0,,53,4,66
148,10360,70,0,,53,4,66
149,10430,70,0,,53,4,66
150,10500,70,0,,53,4,66
151,10570,70,0,,53,4,66
152,10640,70,0,,53,4,66
153,10710,70,0,,53,4,66
154,10780,70,0,,54,4,66
155,10850,70,0,,53,4,66
156,10920,70,0,,53,4,66
157,10990,70,0,,53,4,66
158,11060,70,0,,53,4,66
159,11130,70,0,,53,4,66
160,11200,70,0,,53,4,66
161,11270,70,0,,53,4,66
162,11340,70,0,,53,4,66
163,11410,70,0,,53,4,66
164,11480,70,0,,46,4,66
165,11550,70,0,,31,4,66
166,11620,70,0,,28,4,66
167,11690,70,0,,25,4,66
168,11760,70,0,,24,4,66
169,11830,70,0,,23,4,66
170,11900,70,0,,21,4,66
171,11970,70,0,,20,4,66
172,12040,70,0,,19,4,66
173,12110,70,0,,19,4,66
174,12180,70,0,,20,4,66
175,12250,70,0,,19,5,66
176,12320,70,0,,19,4,66
177,12390,70,0,,19,4,66
178,12460,70,0,,19,4,66
179,12530,70,0,,19,4,66
180,12600,70,0,,19,4,66
181,12670,70,0,,19,4,66
182,12740,70,0,,19,4,66
183,12810,70,0,,19,4,66
184,12880,70,0,,19,4,66
185,12950,70,0,,19,4,66
186,13020,70,0,,19,4,66
187,13090,70,0,,19,4,66
188,13160,70,0,,19,4,66
189,13230,70,0,,19,4,66
190,13300,70,0,,19,4,66
191,13370,70,0,,19,4,66
192,13440,70,0,,19,4,66
193,13510,70,0,,19,4,66
194,13580,70,0,,19,4,66
195,13650,70,0,,19,4,66
196,13720,70,0,,19,4,66
197,13790,70,0,,16,4,66
198,13860,70,0,,16,4,66
199,13930,70,0,,16,4,66
200,14000,70,0,,16,4,66
201,14070,70,0,,16,4,66
202,14140,70,0,,16,4,66
203,14210,70,0,,16,4,66
204,14280,70,0,,16,4,66
205,14350,70,0,,16,4,66
206,14420,70,0,,16,4,66
207,14490,70,0,,16,4,66
208,14560,70,0,,16,4,66
209,14630,70,0,,16,4,66
210,14700,70,0,,16,4,66
211,14770,70,0,,19,4,66
212,14840,70,0,,19,4,66
213,14910,70,0,,16,4,66
214,14980,70,0,,16,4,66
215,15050,70,0,,16,4,66
216,15120,70,0,,16,4,66
217,15190,70,0,,16,4,66
218,15260,70,0,,17,4,66
219,15330,70,0,,16,4,66
220,15400,70,0,,19,4,66
221,15470,70,0,,19,4,66
222,15540,70,0,,19,4,66
223,15610,70,0,,20,4,66
224,15680,70,0,,16,4,66
225,15750,70,0,,19,4,66
226,15820,70,0,,19,4,66
227,15890,70,0,,19,4,66
228,15960,70,0,,19,4,66
229,16030,70,0,,19,4,66
230,16100,70,0,,19,4,66
231,16170,70,0,,19,4,66
232,16240,70,0,,19,4,66
233,16310,70,0,,19,4,66
234,16380,70,0,,16,4,66
235,16450,70,0,,19,4,66
236,16520,70,0,,19,4,66
237,16590,70,0,,19,4,66
238,16660,70,0,,19,4,66
239,16730,70,0,,19,4,66
240,16800,70,0,,19,4,66
241,16870,70,0,,19,4,66
242,16940,70,0,,16,4,66
243,17010,70,0,,17,4,66
244,17080,70,0,,16,4,66
245,17150,70,0,,16,4,66
246,17220,70,0,,16,4,66
247,17290,70,0,,16,4,66
248,17360,70,0,,19,4,66
249,17430,70,0,,19,4,66
250,17500,70,0,,19,4,66
